model_name,context_size,duration_seconds,tokens_per_second,success,error_message
claude-sonnet-4,100,1.074775218963623,93.04271091812792,True,
claude-sonnet-4,100,1.5648140907287598,63.905355014683145,True,
claude-sonnet-4,100,1.3367149829864502,74.81026342398204,True,
claude-sonnet-4,1000,1.4946320056915283,669.0610104641279,True,
claude-sonnet-4,1000,1.5447332859039309,647.3609451710821,True,
claude-sonnet-4,10000,1.6894807815551758,5918.978250107674,True,
claude-sonnet-4,10000,1.7637789249420166,5669.644794246958,True,
claude-sonnet-4,10000,1.8025190830230713,5547.791473712795,True,
claude-sonnet-4,100000,9.764073133468628,10241.62750862924,True,
claude-sonnet-4,100000,5.679254055023193,17607.946225182845,True,
claude-sonnet-4,1000000,,,False,"Error code: 500 - {'code': 500, 'error': '413 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Prompt is too long""},""request_id"":""req_vrtx_011CTAnwbzgVK13vsqWaQL8F""}', 'source': 'provider'}"
claude-sonnet-4,1000000,,,False,"Error code: 500 - {'code': 500, 'error': '413 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""Prompt is too long""},""request_id"":""req_vrtx_011CTAoLPxXKWbyXhT87oqVT""}', 'source': 'provider'}"
claude-haiku-3.5,10,0.6435961723327637,15.537693401367248,True,
claude-haiku-3.5,10,0.6120829582214355,16.337654668670357,True,
claude-haiku-3.5,10,0.5853910446166992,17.082598191347074,True,
claude-haiku-3.5,100,1.7586240768432615,56.86263557786634,True,
claude-haiku-3.5,100,1.6604478359222412,60.224716390718946,True,
claude-haiku-3.5,100,0.570958137512207,175.1441890919052,True,
claude-haiku-3.5,1000,0.6971211433410645,1434.4709087538793,True,
claude-haiku-3.5,1000,0.7245697975158691,1380.129289722566,True,
claude-haiku-3.5,1000,0.7441492080688477,1343.8165211451535,True,
claude-haiku-3.5,10000,2.166840076446533,4615.015251332855,True,
claude-haiku-3.5,10000,2.1161420345306396,4725.580720397154,True,
claude-haiku-3.5,10000,2.0306501388549805,4924.531217198589,True,
claude-haiku-3.5,100000,17.38412117958069,5752.375916331022,True,
claude-haiku-3.5,100001,16.268423080444336,6146.938735580799,True,
claude-haiku-3.5,100000,16.82614517211914,5943.131892484776,True,
